locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJBIFGEO_01129	CDS	402				hypothetical protein
AJBIFGEO_01130	CDS	309				Apoptosis inhibitor
AJBIFGEO_01131	CDS	288				Apoptosis inhibitor
AJBIFGEO_01132	CDS	207				hypothetical protein
AJBIFGEO_01133	CDS	588				hypothetical protein
AJBIFGEO_01134	CDS	801				hypothetical protein
AJBIFGEO_01135	CDS	1164			COG4962	Putative conjugal transfer protein
AJBIFGEO_01136	CDS	1074				putative protein
AJBIFGEO_01137	CDS	864		3.1.3.-	COG0560	putative phosphatase
AJBIFGEO_01138	CDS	549	ald	1.4.1.1	COG0686	Alanine dehydrogenase
AJBIFGEO_01139	CDS	1035	nmoA	1.13.12.-	COG2070	Nitronate monooxygenase
AJBIFGEO_01140	CDS	1317		3.4.24.-	COG0612	putative zinc protease
AJBIFGEO_01141	CDS	2475	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
AJBIFGEO_01142	CDS	516				hypothetical protein
AJBIFGEO_01143	CDS	270	rpsO		COG0184	30S ribosomal protein S15
AJBIFGEO_01144	CDS	975	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
AJBIFGEO_01145	CDS	1764				hypothetical protein
AJBIFGEO_01146	CDS	393	ideR_1		COG1321	Iron-dependent repressor IdeR
AJBIFGEO_01147	CDS	252				hypothetical protein
AJBIFGEO_01148	CDS	1233	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
AJBIFGEO_01149	CDS	1206	fadA_2	2.3.1.16		3-ketoacyl-CoA thiolase
AJBIFGEO_01150	CDS	1380				IS607 family transposase IS1602
AJBIFGEO_01151	CDS	582			COG2452	putative protein
AJBIFGEO_01152	CDS	897	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
AJBIFGEO_01153	CDS	684	npt	2.7.8.7		4'-phosphopantetheinyl transferase Npt
AJBIFGEO_01154	CDS	975				hypothetical protein
AJBIFGEO_01155	CDS	564				hypothetical protein
AJBIFGEO_01156	CDS	1689				hypothetical protein
AJBIFGEO_01157	CDS	327				hypothetical protein
AJBIFGEO_01158	CDS	588				hypothetical protein
AJBIFGEO_01159	CDS	1650	cocE_2	3.1.1.84		Cocaine esterase
AJBIFGEO_01160	CDS	354	mazF9	3.1.-.-	COG2337	Endoribonuclease MazF9
AJBIFGEO_01161	CDS	219	mazE9			Antitoxin MazE9
AJBIFGEO_01162	CDS	1017				hypothetical protein
AJBIFGEO_01163	CDS	468				hypothetical protein
AJBIFGEO_01164	CDS	258				hypothetical protein
AJBIFGEO_01165	CDS	432				hypothetical protein
AJBIFGEO_01166	CDS	192				hypothetical protein
AJBIFGEO_01167	CDS	1152				ISNCY family transposase ISBli16
AJBIFGEO_01168	CDS	216				hypothetical protein
AJBIFGEO_01169	CDS	312				hypothetical protein
AJBIFGEO_01170	CDS	168				hypothetical protein
AJBIFGEO_01171	CDS	609				hypothetical protein
AJBIFGEO_01172	CDS	1410				hypothetical protein
AJBIFGEO_01173	CDS	813				IS481 family transposase ISChy3
	repeat_region	2107				
AJBIFGEO_01174	CDS	297	esxK			ESAT-6-like protein EsxK
AJBIFGEO_01175	CDS	1176				PPE family protein PPE18
AJBIFGEO_01176	CDS	306				PE family protein PE13
AJBIFGEO_01177	CDS	1266				hypothetical protein
AJBIFGEO_01178	CDS	1422	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AJBIFGEO_01179	CDS	828				hypothetical protein
AJBIFGEO_01180	CDS	915				hypothetical protein
AJBIFGEO_01181	CDS	873	dhmA2_2	3.8.1.5		Haloalkane dehalogenase 2
AJBIFGEO_01182	CDS	873	sigI		COG1595	putative ECF RNA polymerase sigma factor SigI
AJBIFGEO_01183	CDS	990	fadM	1.5.5.2	COG0506	Proline dehydrogenase 1
AJBIFGEO_01184	CDS	1632	rocA1	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase 1
AJBIFGEO_01185	CDS	1617				hypothetical protein
AJBIFGEO_01186	CDS	1737		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD21
AJBIFGEO_01187	CDS	1092	chp2	2.3.1.-		Diacyltrehalose acyltransferase Chp2
AJBIFGEO_01188	CDS	3009			COG2409	Acyltrehalose exporter MmpL10
AJBIFGEO_01189	CDS	1419	papA3	2.3.1.-	COG1020	Acyltransferase papA3
AJBIFGEO_01190	CDS	6258	msl3	2.3.1.252	COG3321	Mycolipanoate synthase
AJBIFGEO_01191	CDS	2820				hypothetical protein
AJBIFGEO_01192	CDS	1089	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
AJBIFGEO_01193	CDS	327	fdxA_1		COG1146	Ferredoxin
AJBIFGEO_01194	CDS	570				hypothetical protein
AJBIFGEO_01195	CDS	2025	fadH_1	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
AJBIFGEO_01196	CDS	333				hypothetical protein
AJBIFGEO_01197	CDS	2430	fbiC		COG1060	FO synthase
AJBIFGEO_01198	CDS	927				hypothetical protein
AJBIFGEO_01199	CDS	363				hypothetical protein
AJBIFGEO_01200	CDS	108				hypothetical protein
AJBIFGEO_01201	CDS	912	mshB_1	3.5.1.103	COG2120	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
AJBIFGEO_01202	CDS	303	lipY_2	3.1.1.3		Triacylglycerol lipase
AJBIFGEO_01203	CDS	1041				putative PPE family protein PPE17
AJBIFGEO_01204	CDS	606				putative HTH-type transcriptional regulator
AJBIFGEO_01205	CDS	1908	lpqW		COG0747	putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW
AJBIFGEO_01206	CDS	1887	typA		COG1217	GTP-binding protein TypA/BipA
AJBIFGEO_01207	CDS	741	narX_1		COG2180	Nitrate reductase-like protein NarX
AJBIFGEO_01208	CDS	666				hypothetical protein
AJBIFGEO_01209	CDS	1677	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
AJBIFGEO_01210	CDS	3699	narG	1.7.5.1	COG5013	Nitrate reductase alpha subunit
AJBIFGEO_01211	CDS	426	mutT2	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 2
AJBIFGEO_01212	CDS	279		4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
AJBIFGEO_01213	CDS	1296	pimE	2.4.1.-		Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase
AJBIFGEO_01214	CDS	684				hypothetical protein
AJBIFGEO_01215	CDS	1074				hypothetical protein
AJBIFGEO_01216	CDS	147				hypothetical protein
AJBIFGEO_01217	CDS	588				hypothetical protein
AJBIFGEO_01218	CDS	189				putative proteinA
AJBIFGEO_01219	CDS	444		1.-.-.-		F420H(2)-dependent reductase
AJBIFGEO_01220	CDS	531				hypothetical protein
AJBIFGEO_01221	CDS	849				hypothetical protein
AJBIFGEO_01222	CDS	366				hypothetical protein
AJBIFGEO_01223	CDS	714	cobB_1	2.3.1.286	COG0846	NAD-dependent protein deacylase
AJBIFGEO_01224	CDS	504				putative protein
AJBIFGEO_01225	CDS	315				hypothetical protein
AJBIFGEO_01226	CDS	1785	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
AJBIFGEO_01227	CDS	1068			COG4129	putative protein
AJBIFGEO_01228	CDS	390				hypothetical protein
AJBIFGEO_01229	CDS	945			COG1305	putative protein
AJBIFGEO_01230	CDS	1026			COG4307	putative protein
AJBIFGEO_01231	CDS	2655			COG2307	putative protein
AJBIFGEO_01232	CDS	3342				hypothetical protein
AJBIFGEO_01233	CDS	1752			COG0664	putative NTE family protein
AJBIFGEO_01234	CDS	993			COG0664	putative ABC transporter ATP-binding protein
AJBIFGEO_01235	CDS	1023			COG0577	putative ABC transporter permease
AJBIFGEO_01236	CDS	738				hypothetical protein
AJBIFGEO_01237	CDS	324				hypothetical protein
AJBIFGEO_01238	CDS	738			COG5473	putative protein
AJBIFGEO_01239	CDS	105				hypothetical protein
AJBIFGEO_01240	CDS	219				hypothetical protein
AJBIFGEO_01241	CDS	402				hypothetical protein
AJBIFGEO_01242	CDS	351				hypothetical protein
AJBIFGEO_01243	CDS	903				hypothetical protein
AJBIFGEO_01244	CDS	192				hypothetical protein
AJBIFGEO_01245	CDS	297				hypothetical protein
AJBIFGEO_01246	CDS	216				hypothetical protein
AJBIFGEO_01247	CDS	312				hypothetical protein
AJBIFGEO_01248	CDS	177				putative proteinA
AJBIFGEO_01249	CDS	354	higB1	3.1.-.-		putative endoribonuclease HigB1
AJBIFGEO_01250	CDS	450	higA1		COG1396	Antitoxin HigA1
AJBIFGEO_01251	CDS	546	secBL			SecB-like chaperone
AJBIFGEO_01252	CDS	615				hypothetical protein
AJBIFGEO_01253	CDS	297	parE1		COG3668	Toxin ParE1
AJBIFGEO_01254	CDS	252	parD1		COG3609	Antitoxin ParD1
AJBIFGEO_01255	CDS	342				hypothetical protein
AJBIFGEO_01256	CDS	108				hypothetical protein
AJBIFGEO_01257	CDS	408		3.1.-.-		Ribonuclease VapC35
AJBIFGEO_01258	CDS	273				Antitoxin VapB35
AJBIFGEO_01259	CDS	1221	mce3R			Transcriptional repressor Mce3R
AJBIFGEO_01260	CDS	258				hypothetical protein
AJBIFGEO_01261	CDS	798	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
AJBIFGEO_01262	CDS	594				hypothetical protein
AJBIFGEO_01263	CDS	468				hypothetical protein
AJBIFGEO_01264	CDS	648				hypothetical protein
AJBIFGEO_01265	CDS	750				hypothetical protein
AJBIFGEO_01266	CDS	747				hypothetical protein
AJBIFGEO_01267	CDS	270	tuf_1		COG0050	Elongation factor Tu
AJBIFGEO_01268	CDS	180				hypothetical protein
AJBIFGEO_01269	CDS	282				hypothetical protein
AJBIFGEO_01270	CDS	807	htpX_1	3.4.24.-		Protease HtpX
AJBIFGEO_01271	CDS	849				hypothetical protein
AJBIFGEO_01272	CDS	1446			COG0531	putative transporter
AJBIFGEO_01273	CDS	687				Immunogenic protein MPT64
AJBIFGEO_01274	CDS	969	nrdF1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF1
AJBIFGEO_01275	CDS	96				hypothetical protein
AJBIFGEO_01276	CDS	420		3.1.-.-	COG3742	Ribonuclease VapC36
AJBIFGEO_01277	CDS	288			COG4423	Putative antitoxin VapB36
AJBIFGEO_01278	CDS	780				hypothetical protein
AJBIFGEO_01279	CDS	192				hypothetical protein
AJBIFGEO_01280	CDS	336				hypothetical protein
AJBIFGEO_01281	CDS	498				hypothetical protein
AJBIFGEO_01282	CDS	633				hypothetical protein
AJBIFGEO_01283	CDS	2001				hypothetical protein
AJBIFGEO_01284	CDS	525	bpa			Bacterial proteasome activator
AJBIFGEO_01285	CDS	822	tagH	7.5.2.4		Teichoic acids export ATP-binding protein TagH
AJBIFGEO_01286	CDS	915	glfT1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
AJBIFGEO_01287	CDS	843				hypothetical protein
AJBIFGEO_01288	CDS	1377				hypothetical protein
AJBIFGEO_01289	CDS	1560				putative PPE family protein PPE40
AJBIFGEO_01290	CDS	750	accD5_1	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 5
AJBIFGEO_01291	CDS	429				hypothetical protein
AJBIFGEO_01292	CDS	669		3.6.1.9	COG0424	Nucleoside triphosphate pyrophosphatase
AJBIFGEO_01293	CDS	966	sseA	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseA
AJBIFGEO_01294	CDS	432			COG2166	putative SufE-like protein
AJBIFGEO_01295	CDS	1803	carB_1			Carbamoyl-phosphate synthase large chain
AJBIFGEO_01296	CDS	723	sigF		COG1191	RNA polymerase sigma factor SigF
AJBIFGEO_01297	CDS	438	rsbW		COG2172	Anti-sigma-F factor RsbW
AJBIFGEO_01298	CDS	312				hypothetical protein
AJBIFGEO_01299	CDS	378				hypothetical protein
AJBIFGEO_01300	CDS	1269	lat	2.6.1.36	COG0160	putative L-lysine-epsilon aminotransferase
AJBIFGEO_01301	CDS	453				hypothetical protein
AJBIFGEO_01302	CDS	1248			COG5383	putative protein
AJBIFGEO_01303	CDS	1485	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
AJBIFGEO_01304	CDS	810			COG1373	putative protein
AJBIFGEO_01305	CDS	666				hypothetical protein
AJBIFGEO_01306	CDS	4542	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
AJBIFGEO_01307	CDS	768	nei1_1	3.2.2.-	COG0266	Endonuclease 8 1
AJBIFGEO_01308	CDS	900				hypothetical protein
AJBIFGEO_01309	CDS	2910				hypothetical protein
AJBIFGEO_01310	CDS	918				hypothetical protein
AJBIFGEO_01311	CDS	666	phoU1		COG0704	Phosphate-specific transport system accessory protein PhoU 
AJBIFGEO_01312	CDS	1758	glpD2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
AJBIFGEO_01313	CDS	1416	lpdA_2	1.6.5.2	COG1249	NAD(P)H dehydrogenase (quinone)
AJBIFGEO_01314	CDS	294				hypothetical protein
AJBIFGEO_01315	CDS	1170	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
AJBIFGEO_01316	CDS	1185		3.5.1.47		N-acetyldiaminopimelate deacetylase
AJBIFGEO_01317	CDS	807	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase
AJBIFGEO_01318	CDS	1605		5.4.2.8	COG1109	putative phosphomannomutase
AJBIFGEO_01319	CDS	717	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
AJBIFGEO_01320	CDS	900	sapM	3.1.3.64		Phosphatidylinositol-3-phosphatase
AJBIFGEO_01321	CDS	1263				hypothetical protein
AJBIFGEO_01322	CDS	933				hypothetical protein
AJBIFGEO_01323	CDS	171				hypothetical protein
AJBIFGEO_01324	CDS	312	mtp			Pilin
AJBIFGEO_01325	CDS	1098	add	3.5.4.4	COG1816	Adenosine deaminase
AJBIFGEO_01326	CDS	1284	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
AJBIFGEO_01327	CDS	402	cdd	3.5.4.5	COG0295	Cytidine deaminase
AJBIFGEO_01328	CDS	339	sdhC		COG2009	Succinate dehydrogenase 2 membrane subunit SdhC
AJBIFGEO_01329	CDS	435				hypothetical protein
AJBIFGEO_01330	CDS	1749	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
AJBIFGEO_01331	CDS	792	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
AJBIFGEO_01332	CDS	429		3.1.-.-		Ribonuclease VapC44
AJBIFGEO_01333	CDS	243				hypothetical protein
AJBIFGEO_01334	CDS	615				hypothetical protein
AJBIFGEO_01335	CDS	666				hypothetical protein
AJBIFGEO_01336	CDS	534	moaC1_1	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase 1
AJBIFGEO_01337	CDS	375		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
AJBIFGEO_01338	CDS	1188				hypothetical protein
AJBIFGEO_01339	CDS	696		3.1.1.-		GDSL lipase
AJBIFGEO_01340	CDS	117				hypothetical protein
AJBIFGEO_01341	CDS	858				hypothetical protein
AJBIFGEO_01342	CDS	351		2.1.1.157		Sarcosine/dimethylglycine N-methyltransferase
AJBIFGEO_01343	CDS	306				hypothetical protein
AJBIFGEO_01344	CDS	1305	gabP		COG1113	GABA permease
AJBIFGEO_01345	CDS	396				hypothetical protein
AJBIFGEO_01346	CDS	1389	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
AJBIFGEO_01347	CDS	609			COG0406	putative protein
AJBIFGEO_01348	CDS	612	resA_1			Thiol-disulfide oxidoreductase ResA
AJBIFGEO_01349	CDS	780				hypothetical protein
AJBIFGEO_01350	CDS	1590	ccs1			Cytochrome c biogenesis protein Ccs1
AJBIFGEO_01351	CDS	975	ccsA			Cytochrome c biogenesis protein CcsA
AJBIFGEO_01352	CDS	1212				hypothetical protein
AJBIFGEO_01353	CDS	162				hypothetical protein
AJBIFGEO_01354	CDS	318				hypothetical protein
AJBIFGEO_01355	CDS	1746				hypothetical protein
AJBIFGEO_01356	CDS	414				putative protein
AJBIFGEO_01357	CDS	870				putative protein
AJBIFGEO_01358	CDS	543				hypothetical protein
AJBIFGEO_01359	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
AJBIFGEO_01360	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
AJBIFGEO_01361	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
AJBIFGEO_01362	CDS	735			COG1802	putative HTH-type transcriptional regulator
AJBIFGEO_01363	CDS	627				hypothetical protein
AJBIFGEO_01364	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
AJBIFGEO_01365	CDS	933				Proline-rich 28 kDa antigen
AJBIFGEO_01366	CDS	348				hypothetical protein
AJBIFGEO_01367	CDS	1311			COG0477	putative MFS-type transporter
AJBIFGEO_01368	CDS	774				putative protein
AJBIFGEO_01369	CDS	1512	menE_2	6.2.1.26		2-succinylbenzoate--CoA ligase
AJBIFGEO_01370	CDS	1158		2.3.1.41		Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
AJBIFGEO_01371	CDS	2565			COG0574	putative protein
AJBIFGEO_01372	CDS	657				hypothetical protein
AJBIFGEO_01373	CDS	1506	pnbA_1	3.1.1.-	COG2272	Para-nitrobenzyl esterase
AJBIFGEO_01374	CDS	351				hypothetical protein
AJBIFGEO_01375	CDS	561	pncA	3.5.1.19	COG1335	Nicotinamidase/pyrazinamidase
AJBIFGEO_01376	CDS	798				hypothetical protein
AJBIFGEO_01377	CDS	1320				hypothetical protein
AJBIFGEO_01378	CDS	864	lacF			Lactose transport system permease protein LacF
AJBIFGEO_01379	CDS	843	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
AJBIFGEO_01380	CDS	1074	msiK_1	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
AJBIFGEO_01381	CDS	975				hypothetical protein
AJBIFGEO_01382	CDS	642				hypothetical protein
AJBIFGEO_01383	CDS	489				hypothetical protein
AJBIFGEO_01384	CDS	324			COG0640	HTH-type transcriptional regulator
AJBIFGEO_01385	CDS	843				hypothetical protein
AJBIFGEO_01386	CDS	996	acg	1.-.-.-		Putative NAD(P)H nitroreductase acg
AJBIFGEO_01387	CDS	435	hspX		COG0071	Alpha-crystallin
AJBIFGEO_01388	CDS	2040			COG1926	putative protein
AJBIFGEO_01389	CDS	381				hypothetical protein
AJBIFGEO_01390	CDS	630		2.7.1.-	COG3896	Putative O-phosphotransferase
AJBIFGEO_01391	CDS	657			COG0586	putative membrane protein
AJBIFGEO_01392	CDS	447				hypothetical protein
AJBIFGEO_01393	CDS	333				hypothetical protein
AJBIFGEO_01394	CDS	360				hypothetical protein
AJBIFGEO_01395	CDS	459	cadI		COG0346	Cadmium-induced protein CadI
AJBIFGEO_01396	CDS	381	arsR1		COG0640	Arsenic resistance transcriptional regulator ArsR1
AJBIFGEO_01397	CDS	1497	arsC	1.20.4.4		Arsenate reductase
AJBIFGEO_01398	CDS	309				hypothetical protein
AJBIFGEO_01399	tRNA	73				tRNA-Val(cac)
AJBIFGEO_01400	tRNA	74				tRNA-Gly(gcc)
AJBIFGEO_01401	tRNA	74				tRNA-Cys(gca)
AJBIFGEO_01402	tRNA	75				tRNA-Val(gac)
AJBIFGEO_01403	CDS	432				putative protein
AJBIFGEO_01404	CDS	999	xerC_1			Tyrosine recombinase XerC
AJBIFGEO_01405	CDS	465				hypothetical protein
AJBIFGEO_01406	CDS	201				hypothetical protein
AJBIFGEO_01407	CDS	1440				hypothetical protein
AJBIFGEO_01408	CDS	534				hypothetical protein
AJBIFGEO_01409	CDS	492				hypothetical protein
AJBIFGEO_01410	CDS	324				Toxin
AJBIFGEO_01411	CDS	246				Antitoxin
AJBIFGEO_01412	CDS	558				hypothetical protein
AJBIFGEO_01413	CDS	393				hypothetical protein
AJBIFGEO_01414	CDS	261				hypothetical protein
AJBIFGEO_01415	CDS	366				putative protein
AJBIFGEO_01416	CDS	1128			COG0582	Putative prophage phiRv2 integrase
AJBIFGEO_01417	CDS	159				hypothetical protein
AJBIFGEO_01418	CDS	234				hypothetical protein
AJBIFGEO_01419	CDS	255				hypothetical protein
AJBIFGEO_01420	CDS	282				hypothetical protein
AJBIFGEO_01421	CDS	390				hypothetical protein
AJBIFGEO_01422	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
AJBIFGEO_01423	CDS	606	tetC			Transposon Tn10 TetC protein
AJBIFGEO_01424	CDS	594				hypothetical protein
AJBIFGEO_01425	CDS	207				hypothetical protein
AJBIFGEO_01426	CDS	822				Dormancy associated translation inhibitor
AJBIFGEO_01427	CDS	459				putative protein
AJBIFGEO_01428	CDS	345			COG0640	putative HTH-type transcriptional regulator
AJBIFGEO_01429	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
AJBIFGEO_01430	CDS	348				hypothetical protein
AJBIFGEO_01431	CDS	246				hypothetical protein
AJBIFGEO_01432	CDS	504				hypothetical protein
AJBIFGEO_01433	CDS	624				Thioredoxin-like reductase
AJBIFGEO_01434	CDS	489	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
AJBIFGEO_01435	CDS	807	nei1_2	3.2.2.-	COG0266	Endonuclease 8 1
AJBIFGEO_01436	CDS	1185				hypothetical protein
AJBIFGEO_01437	tRNA	72				tRNA-Gly(tcc)
AJBIFGEO_01438	tRNA	77				tRNA-Pro(tgg)
AJBIFGEO_01439	CDS	1401	tig	5.2.1.8	COG0544	Trigger factor
AJBIFGEO_01440	CDS	603	clpP1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit 1
AJBIFGEO_01441	CDS	645	clpP2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit 2
AJBIFGEO_01442	CDS	1617	jefA			Drug efflux pump JefA
AJBIFGEO_01443	CDS	909	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
AJBIFGEO_01444	CDS	1281	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
AJBIFGEO_01445	CDS	1257				putative MFS-type transporter
AJBIFGEO_01446	CDS	1962	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
AJBIFGEO_01447	CDS	1122	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
AJBIFGEO_01448	CDS	537	mobA	2.7.7.77	COG0746	putative molybdenum cofactor guanylyltransferase
AJBIFGEO_01449	CDS	567	rpfE	3.-.-.-		Resuscitation-promoting factor RpfE
AJBIFGEO_01450	CDS	1260		1.3.1.-	COG3268	Putative trans-acting enoyl reductase
AJBIFGEO_01451	CDS	1197				hypothetical protein
AJBIFGEO_01452	CDS	330				hypothetical protein
AJBIFGEO_01453	CDS	621	valS	6.1.1.9	COG0525	Valine--tRNA ligase
AJBIFGEO_01454	CDS	1464	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
AJBIFGEO_01455	CDS	372				hypothetical protein
AJBIFGEO_01456	CDS	423	ndkA	2.7.4.6	COG0105	Nucleoside diphosphate kinase
AJBIFGEO_01457	CDS	2862	rne	3.1.26.12		Ribonuclease E
AJBIFGEO_01458	CDS	1476	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
AJBIFGEO_01459	CDS	312	rplU		COG0261	50S ribosomal protein L21
AJBIFGEO_01460	CDS	261	rpmA		COG0211	50S ribosomal protein L27
AJBIFGEO_01461	CDS	1455	obg	3.6.5.-	COG0536	GTPase Obg
AJBIFGEO_01462	CDS	1131	proB	2.7.2.11	COG0263	Glutamate 5-kinase
AJBIFGEO_01463	CDS	2217	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
AJBIFGEO_01464	CDS	438				hypothetical protein
AJBIFGEO_01465	CDS	915	rbsK/rbiA			Bifunctional ribokinase/ribose-5-phosphate isomerase A
AJBIFGEO_01466	CDS	2193				hypothetical protein
AJBIFGEO_01467	CDS	1446				hypothetical protein
AJBIFGEO_01468	CDS	291				hypothetical protein
AJBIFGEO_01469	CDS	300				PE-PGRS family protein PE25
AJBIFGEO_01470	CDS	585				PPE family protein PPE41
AJBIFGEO_01471	CDS	534	ahpD	1.11.1.15	COG2128	Alkyl hydroperoxide reductase AhpD
AJBIFGEO_01472	CDS	588	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
AJBIFGEO_01473	CDS	195				hypothetical protein
AJBIFGEO_01474	CDS	234				hypothetical protein
AJBIFGEO_01475	CDS	1248	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
AJBIFGEO_01476	CDS	372				hypothetical protein
AJBIFGEO_01477	CDS	543				hypothetical protein
AJBIFGEO_01478	CDS	1443				hypothetical protein
AJBIFGEO_01479	CDS	1002				IS110 family transposase ISArsp3
AJBIFGEO_01480	tRNA	74				tRNA-Asn(gtt)
AJBIFGEO_01481	CDS	435				hypothetical protein
AJBIFGEO_01482	CDS	294				hypothetical protein
AJBIFGEO_01483	CDS	1920	dnaG	2.7.7.-	COG0358	DNA primase
AJBIFGEO_01484	CDS	660	dgt		COG0232	Deoxyguanosinetriphosphate triphosphohydrolase-like protein
AJBIFGEO_01485	CDS	99				hypothetical protein
AJBIFGEO_01486	CDS	819				hypothetical protein
AJBIFGEO_01487	CDS	285	esxN			ESAT-6-like protein EsxN
AJBIFGEO_01488	CDS	876			COG0520	putative protein
AJBIFGEO_01489	CDS	726	ppsC_1	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
AJBIFGEO_01490	tRNA	88				tRNA-Ser(tga)
AJBIFGEO_01491	CDS	279	rnc	3.1.26.3	COG0571	Ribonuclease 3
AJBIFGEO_01492	CDS	1005	fpg1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase 1
AJBIFGEO_01493	CDS	414			COG1765	putative protein
AJBIFGEO_01494	CDS	282	acyP	3.6.1.7	COG1254	Acylphosphatase
AJBIFGEO_01495	CDS	423				hypothetical protein
AJBIFGEO_01496	CDS	327				hypothetical protein
AJBIFGEO_01497	CDS	627				hypothetical protein
AJBIFGEO_01498	CDS	483	smc		COG1196	Chromosome partition protein Smc
AJBIFGEO_01499	CDS	1269	ftsY		COG0552	Signal recognition particle receptor FtsY
AJBIFGEO_01500	CDS	1434	amt			Ammonia channel
AJBIFGEO_01501	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
AJBIFGEO_01502	CDS	2427	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
AJBIFGEO_01503	CDS	1809				hypothetical protein
AJBIFGEO_01504	CDS	1578	ffh		COG0541	Signal recognition particle protein
AJBIFGEO_01505	CDS	1128			COG1228	putative protein
AJBIFGEO_01506	CDS	1758	pknI	2.7.11.1		Serine/threonine-protein kinase PknI
AJBIFGEO_01507	CDS	1797			COG3653	putative protein
AJBIFGEO_01508	CDS	588				putative HTH-type transcriptional regulator
AJBIFGEO_01509	CDS	2046				putative PPE family protein PPE40
AJBIFGEO_01510	CDS	642				hypothetical protein
AJBIFGEO_01511	CDS	1158	yeaW	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
AJBIFGEO_01512	CDS	438				hypothetical protein
AJBIFGEO_01513	CDS	1272				hypothetical protein
AJBIFGEO_01514	CDS	963	ravA	3.6.3.-		ATPase RavA
AJBIFGEO_01515	CDS	483				hypothetical protein
AJBIFGEO_01516	CDS	960				hypothetical protein
